tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2016-0425,Barcelona,Clay,64,A,20160418,285,104745,1,,Rafael Nadal,L,185,ESP,29.87542779,104719,,,Marcel Granollers,R,190,ESP,30.01779603,6-3 6-2,3,R32,91,0,0,54,37,28,9,9,3,4,2,3,57,36,18,11,8,12,16,5,5595,50,896
2016-0425,Barcelona,Clay,64,A,20160418,293,104745,1,,Rafael Nadal,L,185,ESP,29.87542779,103656,,WC,Albert Montanes,R,175,ESP,35.39219713,6-2 6-2,3,R16,67,3,0,45,32,23,9,8,0,1,0,2,47,28,16,6,8,2,7,5,5595,104,552
2016-0425,Barcelona,Clay,64,A,20160418,297,104745,1,,Rafael Nadal,L,185,ESP,29.87542779,104926,12,,Fabio Fognini,R,178,ITA,28.90349076,6-2 7-6(1),3,QF,109,2,0,65,52,34,6,10,0,3,2,2,83,57,33,8,10,11,16,5,5595,31,1240
2016-0425,Barcelona,Clay,64,A,20160418,299,104745,1,,Rafael Nadal,L,185,ESP,29.87542779,104259,10,,Philipp Kohlschreiber,R,178,GER,32.5065024,6-3 6-3,3,SF,92,2,0,52,34,28,11,9,1,1,4,3,75,49,28,13,9,5,8,5,5595,27,1330
2016-0425,Barcelona,Clay,64,A,20160418,300,104745,1,,Rafael Nadal,L,185,ESP,29.87542779,105453,2,,Kei Nishikori,R,178,JPN,26.30253251,6-4 7-5,3,F,124,1,1,84,62,37,11,11,10,13,0,0,73,52,29,10,11,7,12,5,5595,6,4490
2016-M021,Madrid Masters,Clay,64,M,20160502,277,104745,5,,Rafael Nadal,L,185,ESP,29.9137577,105723,,,Andrey Kuznetsov,R,185,RUS,25.19096509,6-3 6-3,3,R32,78,4,0,41,33,28,8,9,0,0,0,4,62,34,23,13,9,5,8,5,5915,39,1015
2016-M021,Madrid Masters,Clay,64,M,20160502,289,104745,5,,Rafael Nadal,L,185,ESP,29.9137577,105023,,,Sam Querrey,R,198,USA,28.56947296,6-4 6-2,3,R16,69,1,1,51,39,28,5,9,4,6,9,2,50,34,22,5,9,3,8,5,5915,37,1090
2016-M021,Madrid Masters,Clay,64,M,20160502,295,104745,5,,Rafael Nadal,L,185,ESP,29.9137577,105311,,,Joao Sousa,R,185,POR,27.09103354,6-0 4-6 6-3,3,QF,125,3,0,73,55,40,12,13,2,3,1,1,71,52,35,7,12,9,13,5,5915,35,1181
2016-M009,Rome Masters,Clay,64,M,20160509,282,104745,5,,Rafael Nadal,L,185,ESP,29.93292266,104259,,,Philipp Kohlschreiber,R,178,GER,32.56399726,6-3 6-3,3,R32,83,0,0,49,39,28,7,9,1,2,3,0,59,37,24,8,9,4,8,5,5675,26,1485
2016-M009,Rome Masters,Clay,64,M,20160509,292,104745,5,,Rafael Nadal,L,185,ESP,29.93292266,106401,,,Nick Kyrgios,R,193,AUS,21.0349076,6-7(3) 6-2 6-4,3,R16,159,1,4,93,78,55,8,15,3,4,9,0,118,80,52,17,15,11,15,5,5675,20,1795
